Names,Id,Area,Number,pA,pB,pC,pD,pE,pF,pG,pH,pI,pJ,pK,pL
neuro_patient_room,pA,1,14,100,,,,,,,,,,0,
patient_room,pB,1,43,,100,,,,,200,,,,200,
ada_patient_room,pC,1,6,,,-200,,,,,,,,200,
conference_training_room,pD,1,4,,,,-400,100,100,,,,,,
neuro_monitor_room,pE,1,1,,,,100,0,100,,,,,,
reading_interview_room,pF,1,1,,,,100,100,0,,,,,,
ptot_therapy,pG,1,1,,200,,,,,200,,,,,
evs,pH,1,2,,,,,,,,,,,,
consult,pI,1,3,,,,100,,,,,-400,,,
seating_area,pJ,1,1,,,,100,,,,,,,,
family_lounge,pK,1,1,,200,200,,,,,,,,,-200
staff_lounge,pL,1,1,,,,,,,,,,,-200,
